Episode,Winner,Duration,RemainingHealth
983,Player2,44675.69,40
985,Player2,60.00,40
992,Player2,45033.02,60
993,Player2,45085.01,40
994,Player2,45138.35,60
995,Player2,45181.70,40
998,Player2,45320.84,40
1001,Player2,45382.67,40
1006,Player2,45484.52,20
1007,Player2,45515.48,20
1008,Player2,45544.67,60
1011,Player2,45647.72,60
1016,Player2,45755.84,40
1020,Player2,45888.02,20
1021,Player2,45927.02,60
1027,Player1,60.00,60
1033,Player2,46282.70,40
1034,Player2,46330.67,40
1035,Player2,46364.48,40
1036,Player2,46424.36,40
1038,Player2,46512.98,20
1048,Player2,46784.72,40
1057,Player2,47067.02,80
1060,Player2,47174.36,20
1061,Player2,47199.92,60
1062,Player2,47222.36,40
1067,Player2,47386.40,60
1072,Player2,47514.68,40
1073,Player2,47545.46,40
1075,Player2,47579.03,60
1082,Player2,47829.68,40
1083,Player2,47843.03,60
1084,Player2,47871.14,20
1085,Player2,47901.68,60
1089,Player1,60.00,40
1092,Player2,48156.02,60
1093,Player2,48184.01,40
1096,Player2,48267.35,60
1097,Player2,48309.02,20
1099,Player2,48374.75,60
1105,Player1,60.00,60
1108,Player2,48611.75,60
1109,Player2,48641.09,40
1110,Player2,48661.37,20
1112,Player2,48755.39,60
1114,Player2,48838.37,100
1115,Player2,48855.68,60
1116,Player2,48871.79,40
1119,Player2,48966.77,20
1120,Player2,48985.34,60
1121,Player2,49000.13,80
1122,Player2,49044.41,60
1124,Player2,49098.35,40
1125,Player2,49129.01,40
1126,Player2,49165.01,40
1127,Player2,49196.03,80
1130,Player2,60.00,100
1133,Player2,49476.65,40
1135,Player2,49564.67,20
1143,Player2,49776.35,60
1144,Player2,49804.37,60
1145,Player2,49833.77,40
1148,Player2,49955.15,40
1149,Player2,49963.13,60
1150,Player2,50002.01,20
1151,Player2,50032.67,60
1158,Player2,50320.79,20
1159,Player2,50363.81,20
1161,Player2,50426.36,40
1164,Player2,50550.02,40
1168,Player2,50650.43,80
1169,Player2,50659.67,80
1170,Player2,50679.68,20
1174,Draw,60.00,60
1176,Player2,50925.83,80
1177,Player2,50978.03,40
1182,Player2,51134.39,60
1183,Player2,51143.69,80
1184,Player2,51170.39,60
1185,Player2,51195.68,60
1186,Player2,51222.35,40
1189,Player2,51317.15,60
1191,Player1,60.00,40
1192,Player2,51420.02,20
1193,Player2,51441.35,60
1194,Player2,51469.34,20
1195,Player2,51492.05,40
1196,Player2,51517.49,60
1197,Player2,51533.45,20
1198,Player2,51584.27,20
1199,Player2,51620.39,20
1200,Player2,51635.57,20
1201,Player2,51668.81,40
1204,Player2,51759.68,60
1215,Player2,52093.01,20
1216,Player2,52113.05,60
1218,Player2,52170.89,80
1226,Player2,52405.01,20
1228,Player2,52499.03,40
1229,Player2,52517.81,40
1230,Player2,52528.55,40
1231,Player2,52539.17,20
1233,Player2,52596.68,40
1234,Player2,52626.05,20
1235,Player2,52643.36,60
1237,Player2,52696.34,40
1238,Player2,52723.07,40
1239,Player2,52760.36,60
1241,Player2,60.00,80
1242,Player2,52935.35,20
1244,Player2,53023.37,20
1248,Player2,53163.35,20
1251,Player2,53271.35,60
1254,Player2,53362.01,20
1255,Player2,53376.68,80
1257,Player2,53454.02,40
1261,Player2,53534.36,60
1264,Player2,53633.45,40
1265,Player2,53644.07,80
1268,Player2,53753.36,40
1269,Player2,53805.35,20
1272,Player2,53887.13,20
1273,Player2,53917.85,40
1274,Player2,53949.68,40
1275,Player2,53968.37,20
1278,Player2,54081.02,60
1280,Player2,54186.35,20
1284,Player2,54281.09,20
1285,Player2,54305.36,80
1289,Player2,54413.69,100
1292,Draw,60.00,40
1294,Player2,54616.67,40
1295,Player2,54648.71,40
1296,Player2,54666.02,40
1298,Player2,54731.39,100
1302,Player2,54880.01,40
1303,Player2,54906.71,20
1308,Player2,55040.36,40
1310,Player2,55107.02,80
1315,Draw,60.00,20
1316,Player2,55330.73,20
1320,Player2,55439.21,60
1321,Player2,55445.69,60
1322,Player2,55473.68,60
1323,Player2,55498.01,80
1324,Player2,55526.21,80
1325,Player2,55555.34,20
1327,Player2,55606.67,60
1329,Player2,55666.67,40
1331,Player2,55752.35,80
1332,Player2,55796.36,60
1333,Player2,55812.35,80
1334,Player2,55840.34,60
1335,Player2,55871.03,100
1336,Player2,55918.01,20
1337,Player2,55942.25,40
1338,Player2,55950.35,60
1340,Player2,56007.71,40
1343,Player2,56107.67,20
1346,Player2,56209.49,20
1347,Player2,56247.35,40
1349,Player2,56308.96,60
1353,Player2,56431.79,40
1354,Player2,56478.35,20
1359,Player2,56625.89,60
1360,Player2,56658.02,20
1361,Player2,56706.35,60
1362,Player2,56733.05,20
1363,Player2,56754.35,80
1364,Player2,56782.34,60
1366,Player2,56810.69,20
